Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Current (A)
2025-06-10 12:44:49,140D2,40,6000000,300,Single Conduction,0.047726464
2025-06-10 12:44:52,140D2,40,6000000,300,Single Conduction,0.047711945
2025-06-10 12:44:55,140D2,40,6000000,300,Single Conduction,0.047705501
2025-06-10 12:44:58,140D2,40,6000000,300,Single Conduction,0.047694644
2025-06-10 12:45:00,140D2,40,6000000,300,Single Conduction,0.047686971
2025-06-10 12:45:03,140D2,40,6000000,300,Single Conduction,0.047682081
2025-06-10 12:45:06,140D2,40,6000000,300,Single Conduction,0.047678144
2025-06-10 12:45:09,140D2,40,6000000,300,Single Conduction,0.047676389
2025-06-10 12:45:12,140D2,40,6000000,300,Single Conduction,0.047667111
2025-06-10 12:45:15,140D2,40,6000000,300,Single Conduction,0.047660391
2025-06-10 12:45:18,140D2,40,6000000,300,Single Conduction,0.047658661
2025-06-10 12:45:20,140D2,40,6000000,300,Single Conduction,0.04765327
2025-06-10 12:45:23,140D2,40,6000000,300,Single Conduction,0.047647879
2025-06-10 12:45:26,140D2,40,6000000,300,Single Conduction,0.047640883
2025-06-10 12:45:29,140D2,40,6000000,300,Single Conduction,0.047634263
2025-06-10 12:45:32,140D2,40,6000000,300,Single Conduction,0.047629248
2025-06-10 12:45:35,140D2,40,6000000,300,Single Conduction,0.047627644
2025-06-10 12:45:38,140D2,40,6000000,300,Single Conduction,0.047619269
2025-06-10 12:45:40,140D2,40,6000000,300,Single Conduction,0.047614479
2025-06-10 12:45:43,140D2,40,6000000,300,Single Conduction,0.047608035
2025-06-10 12:45:46,140D2,40,6000000,300,Single Conduction,0.047607358
2025-06-10 12:47:21,140D2,40,6000000,300,Single Conduction,0.047892033
2025-06-10 12:47:24,140D2,40,6000000,300,Single Conduction,0.047893688
2025-06-10 12:47:27,140D2,40,6000000,300,Single Conduction,0.047893513
2025-06-10 12:47:30,140D2,40,6000000,300,Single Conduction,0.047888723
2025-06-10 12:47:33,140D2,40,6000000,300,Single Conduction,0.047876236
2025-06-10 12:47:36,140D2,40,6000000,300,Single Conduction,0.047878392
2025-06-10 12:47:39,140D2,40,6000000,300,Single Conduction,0.047879471
2025-06-10 12:47:41,140D2,40,6000000,300,Single Conduction,0.047881151
2025-06-10 12:47:44,140D2,40,6000000,300,Single Conduction,0.047876813
2025-06-10 12:47:47,140D2,40,6000000,300,Single Conduction,0.047863774
2025-06-10 12:47:50,140D2,40,6000000,300,Single Conduction,0.047867184
2025-06-10 12:47:53,140D2,40,6000000,300,Single Conduction,0.047862445
2025-06-10 12:47:56,140D2,40,6000000,300,Single Conduction,0.047864025
2025-06-10 12:47:59,140D2,40,6000000,300,Single Conduction,0.047853719
2025-06-10 12:48:02,140D2,40,6000000,300,Single Conduction,0.047848829
2025-06-10 12:48:04,140D2,40,6000000,300,Single Conduction,0.047847977
2025-06-10 12:48:07,140D2,40,6000000,300,Single Conduction,0.047841808
2025-06-10 12:48:10,140D2,40,6000000,300,Single Conduction,0.047848102
2025-06-10 12:48:13,140D2,40,6000000,300,Single Conduction,0.047841482
2025-06-10 12:48:16,140D2,40,6000000,300,Single Conduction,0.047834361
2025-06-10 12:48:19,140D2,40,6000000,300,Single Conduction,0.047834787
