Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Current (A)
2025-06-10 12:40:26,140D2,40,6000000,200,Single Conduction,0.037675653
2025-06-10 12:40:29,140D2,40,6000000,200,Single Conduction,0.037732748
2025-06-10 12:40:32,140D2,40,6000000,200,Single Conduction,0.037753135
2025-06-10 12:40:35,140D2,40,6000000,200,Single Conduction,0.037770788
2025-06-10 12:40:38,140D2,40,6000000,200,Single Conduction,0.037786836
2025-06-10 12:40:40,140D2,40,6000000,200,Single Conduction,0.037808827
2025-06-10 12:40:43,140D2,40,6000000,200,Single Conduction,0.03782159
2025-06-10 12:40:46,140D2,40,6000000,200,Single Conduction,0.037834177
2025-06-10 12:40:49,140D2,40,6000000,200,Single Conduction,0.037843079
2025-06-10 12:40:52,140D2,40,6000000,200,Single Conduction,0.037851629
2025-06-10 12:40:58,140D2,40,6000000,200,Single Conduction,0.037859102
2025-06-10 12:41:00,140D2,40,6000000,200,Single Conduction,0.03785178
2025-06-10 12:41:03,140D2,40,6000000,200,Single Conduction,0.037850978
2025-06-10 12:41:06,140D2,40,6000000,200,Single Conduction,0.037863866
2025-06-10 12:41:09,140D2,40,6000000,200,Single Conduction,0.037863264
2025-06-10 12:41:12,140D2,40,6000000,200,Single Conduction,0.037839468
2025-06-10 12:41:15,140D2,40,6000000,200,Single Conduction,0.037853761
2025-06-10 12:41:18,140D2,40,6000000,200,Single Conduction,0.037857296
2025-06-10 12:41:20,140D2,40,6000000,200,Single Conduction,0.03785667
2025-06-10 12:41:23,140D2,40,6000000,200,Single Conduction,0.040899087
2025-06-10 12:41:32,140D2,40,6000000,200,Single Conduction,0.037780542
2025-06-10 12:41:35,140D2,40,6000000,200,Single Conduction,0.037819985
2025-06-10 12:42:11,140D2,40,6000000,200,Single Conduction,0.037471669
2025-06-10 12:42:14,140D2,40,6000000,200,Single Conduction,0.037409884
2025-06-10 12:42:17,140D2,40,6000000,200,Single Conduction,0.037377713
2025-06-10 12:42:20,140D2,40,6000000,200,Single Conduction,0.03736342
2025-06-10 12:42:23,140D2,40,6000000,200,Single Conduction,0.03731643
2025-06-10 12:42:25,140D2,40,6000000,200,Single Conduction,0.037348074
2025-06-10 12:42:28,140D2,40,6000000,200,Single Conduction,0.037295543
2025-06-10 12:42:31,140D2,40,6000000,200,Single Conduction,0.037287995
2025-06-10 12:42:34,140D2,40,6000000,200,Single Conduction,0.037283256
2025-06-10 12:42:37,140D2,40,6000000,200,Single Conduction,0.037237394
2025-06-10 12:42:40,140D2,40,6000000,200,Single Conduction,0.037153719
2025-06-10 12:42:43,140D2,40,6000000,200,Single Conduction,0.037149682
2025-06-10 12:42:45,140D2,40,6000000,200,Single Conduction,0.037083409
2025-06-10 12:42:48,140D2,40,6000000,200,Single Conduction,0.037048856
2025-06-10 12:42:51,140D2,40,6000000,200,Single Conduction,0.036993415
2025-06-10 12:42:54,140D2,40,6000000,200,Single Conduction,0.036886295
2025-06-10 12:42:57,140D2,40,6000000,200,Single Conduction,0.036789205
2025-06-10 12:43:00,140D2,40,6000000,200,Single Conduction,0.03668414
2025-06-10 12:43:03,140D2,40,6000000,200,Single Conduction,0.036619222
2025-06-10 12:43:06,140D2,40,6000000,200,Single Conduction,0.036580882
2025-06-10 12:43:08,140D2,40,6000000,200,Single Conduction,0.036587301
2025-06-10 18:22:33,140D2,40,6000000,200,Single Conduction,50,0.018451934
2025-06-10 18:22:36,140D2,40,6000000,200,Single Conduction,50,0.018437867
2025-06-10 18:22:39,140D2,40,6000000,200,Single Conduction,50,0.018429793
2025-06-10 18:22:42,140D2,40,6000000,200,Single Conduction,50,0.018422722
2025-06-10 18:22:45,140D2,40,6000000,200,Single Conduction,50,0.018418835
2025-06-10 18:22:48,140D2,40,6000000,200,Single Conduction,50,0.018416428
2025-06-10 18:22:50,140D2,40,6000000,200,Single Conduction,50,0.018416328
2025-06-10 18:22:53,140D2,40,6000000,200,Single Conduction,50,0.018414974
